kind,value,entity,appeared_in,reason,added_by,added_at,source_url
name,pwc,PwC,past partners|2025-26 wall|documented engagements,NON-MONETARY. Office tour + branding workshop + career panel. Already gave time - warm. Also on national-flag.csv,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,ey design studio,EY Design Studio,past partners,NON-MONETARY. Mentor employer / judge / host,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,college of pharmacists of british columbia,College of Pharmacists of British Columbia,past partners,Regulatory college - venue or programme partner,enactus-icp/report.md 3.2,2026-08-06,https://www.enactussfu.ca/
name,samsung,Samsung,2025-26 wall,NON-MONETARY. Blue-chip logo - venue host / mentor employer / judge,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,lululemon,Lululemon,2025-26 wall,NON-MONETARY. Blue-chip logo - venue host / mentor employer / judge,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,microsoft,Microsoft,2025-26 wall,NON-MONETARY. Blue-chip logo - venue host / mentor employer / judge,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,rbc,RBC,2025-26 wall,NON-MONETARY blue-chip logo AND an Enactus Canada national partner - route via national,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,icbc,ICBC,2025-26 wall,NON-MONETARY. Blue-chip logo. Also a provincial Crown corporation,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,rb global,rb GLOBAL,2025-26 wall,NON-MONETARY. Blue-chip logo,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,admiral,Admiral,2025-26 wall,NON-MONETARY. Blue-chip logo,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,ey,EY,2025-26 wall|documented engagements,NON-MONETARY. Forward Vision mentors,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,manning elliott,Manning Elliott,2025-26 wall,THE single most on-profile logo on the entire wall. Verified 200-235 staff four Lower Mainland offices active campus recruitment. No evidence anyone has ever asked it for money,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,pattison food group,Pattison Food Group,2025-26 wall,Store-level not corporate - corporate giving is committed to children's hospitals and food banks,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,indomie,Indomie,2025-26 wall,Consumer brand with a field-marketing motive,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,crema artisan bakers,Crema Artisan Bakers,2025-26 wall,Neighbourhood consumer SMB,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,bakd,bäk'd,2025-26 wall,Neighbourhood consumer SMB. bakdcookies.com resolves A but publishes no MX,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,greens and beans,Greens & Beans,2025-26 wall,Neighbourhood consumer SMB,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,islands cafe,Islands Cafe,2025-26 wall,Neighbourhood consumer SMB,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,browns socialhouse,Browns Socialhouse,2025-26 wall,Franchise - approach the location never head office,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,hanoi drip,Hanoi Drip,2025-26 wall,Neighbourhood consumer SMB,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,chaiiwala,chaiiwala,2025-26 wall,Franchise - approach the location never head office,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,kolo,Kolo,2025-26 wall,Neighbourhood consumer SMB,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,pilot,Pilot,2025-26 wall,Neighbourhood consumer SMB,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,spinhouse cycling studio,Spinhouse Cycling Studio,2025-26 wall,Trial-model service SMB,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,museum of vancouver,Museum of Vancouver,2025-26 wall,Civic institutional host - venue and delivery partner not a cash sponsor,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,trout lake community centre,Trout Lake Community Centre,2025-26 wall,Civic institutional host - venue and delivery partner not a cash sponsor,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,futurpreneur,Futurpreneur,2025-26 wall,Verified national non-profit lender/mentor to entrepreneurs 18-39. Ecosystem partner NOT a donor,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,newcomers jobs canada,Newcomers Jobs Canada,2025-26 wall,Almost certainly a Unify delivery partner not a sponsor,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,neuromedia,Neuromedia,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,km3d,KM3D,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,punchcard systems,Punchcard Systems,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,cassia research,Cassia Research / FinMason,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,nexstart,NexStart,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,be pacific,Be Pacific,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,crump,Crump,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,iilo creative alliance,iilo Creative Alliance,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,promise vancouver,Promise Vancouver,2025-26 wall,Startup or vendor - individual assignment UNVERIFIED,enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,plantee bioplastics,Plantee Bioplastics,2025-26 wall,Project-aligned to Alara (algae bioplastics),enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,natural vitamin direct,Natural Vitamin Direct,2025-26 wall,Project-aligned to Nourish (nutrition/gummies),enactus-icp/report.md 3.3,2026-08-06,https://www.enactussfu.ca/
name,nesters food market,Nesters Food Market,2016-17 SILVER,THE ONLY EVIDENCE OF A TIER. A neighbourhood grocer wrote a real cash cheque at $250-500. Now part of Pattison Food Group,enactus-icp/report.md 3.4,2026-08-06,https://web.archive.org/web/*/enactussfu.com/sponsors/
name,ames tile and stone,Ames Tile & Stone,2016-17 BRONZE,THE ONLY direct evidence for the local B2B/trade segment. A trade distributor paid cash at $100-250,enactus-icp/report.md 3.4,2026-08-06,https://web.archive.org/web/*/enactussfu.com/sponsors/
name,college pro,College Pro,2016-17 BRONZE,A franchise whose entire model is hiring students - paid to be in front of students,enactus-icp/report.md 3.4,2026-08-06,https://web.archive.org/web/*/enactussfu.com/sponsors/
name,coast capital savings,Coast Capital Savings,2022-23 tiered list,BC credit union. Youth Get It programme targets youth financial future school success and belonging,enactus-icp/report.md 3.4,2026-08-06,https://web.archive.org/web/*/enactussfu.com/sponsors/
name,westminster savings,Westminster Savings,2022-23 tiered list,BC credit union - since merged into Prospera,enactus-icp/report.md 3.4,2026-08-06,https://web.archive.org/web/*/enactussfu.com/sponsors/
name,talent link,Talent Link,2022-23 tiered list,Club vendor or civic partner,enactus-icp/report.md 3.4,2026-08-06,https://web.archive.org/web/*/enactussfu.com/sponsors/
name,sap,SAP,documented engagements,NON-MONETARY and the warmest identified relationship in the club's records - office tour led by Christine Vukusic COO of SAP Labs,enactus-icp/report.md 3.5,2026-08-06,https://www.enactussfu.ca/
name,electronic arts,Electronic Arts,documented engagements,NON-MONETARY. Forward Vision mentors,enactus-icp/report.md 3.5,2026-08-06,https://www.enactussfu.ca/
